SL,project_name,migration_direction,prompt_mode,model_name,cosine_similarity,crystal_bleu
89,io7m_jmurmur,travis_to_gha,zero-shot,gemma3_12b,0.63067,0.380514
90,io7m_jmurmur,travis_to_gha,zero-shot,llama3_1_8b,0.666006,0.339348
91,io7m_jmurmur,travis_to_gha,zero-shot,gpt-4o,0.575055,0.313703
92,io7m_jmurmur,travis_to_gha,zero-shot,mistral_7b,0.576458,0.232008
93,io7m_jmurmur,gha_to_travis,zero-shot,gemma3_12b,0.384371,0.244704
94,io7m_jmurmur,gha_to_travis,zero-shot,llama3_1_8b,0.385164,0.17242
95,io7m_jmurmur,gha_to_travis,zero-shot,gpt-4o,0.470757,0.188926
96,io7m_jmurmur,gha_to_travis,zero-shot,mistral_7b,0.392792,0.177788
97,hank-cp_sbp,travis_to_gha,zero-shot,gemma3_12b,0.674707,0.51158
98,hank-cp_sbp,travis_to_gha,zero-shot,llama3_1_8b,0.738221,0.4805
99,hank-cp_sbp,travis_to_gha,zero-shot,gpt-4o,0.720696,0.375165
100,hank-cp_sbp,travis_to_gha,zero-shot,mistral_7b,0.498273,0.329502
101,hank-cp_sbp,gha_to_travis,zero-shot,gemma3_12b,0.629837,0.343521
102,hank-cp_sbp,gha_to_travis,zero-shot,llama3_1_8b,0.739196,0.391619
103,hank-cp_sbp,gha_to_travis,zero-shot,gpt-4o,0.941278,0.824879
104,hank-cp_sbp,gha_to_travis,zero-shot,mistral_7b,0.627158,0.386269
105,OHNLP_MedTagger,travis_to_gha,zero-shot,gemma3_12b,0.500291,0.210394
106,OHNLP_MedTagger,travis_to_gha,zero-shot,llama3_1_8b,0.446502,0.234555
107,OHNLP_MedTagger,travis_to_gha,zero-shot,gpt-4o,0.493689,0.253582
108,OHNLP_MedTagger,travis_to_gha,zero-shot,mistral_7b,0.416652,0.177637
109,OHNLP_MedTagger,gha_to_travis,zero-shot,gemma3_12b,0.244399,0.088252
110,OHNLP_MedTagger,gha_to_travis,zero-shot,llama3_1_8b,0.245836,0.042561
111,OHNLP_MedTagger,gha_to_travis,zero-shot,gpt-4o,0.489807,0.158687
112,OHNLP_MedTagger,gha_to_travis,zero-shot,mistral_7b,0.183198,0.066552
113,tanersener_smart-exception,travis_to_gha,zero-shot,gemma3_12b,0.647448,0.317744
114,tanersener_smart-exception,travis_to_gha,zero-shot,llama3_1_8b,0.622121,0.263722
115,tanersener_smart-exception,travis_to_gha,zero-shot,gpt-4o,0.63214,0.308403
116,tanersener_smart-exception,travis_to_gha,zero-shot,mistral_7b,0.446506,0.186074
117,tanersener_smart-exception,gha_to_travis,zero-shot,gemma3_12b,0.281411,0.18812
118,tanersener_smart-exception,gha_to_travis,zero-shot,llama3_1_8b,0.304702,0.083378
119,tanersener_smart-exception,gha_to_travis,zero-shot,gpt-4o,0.355486,0.173205
120,tanersener_smart-exception,gha_to_travis,zero-shot,mistral_7b,0.429772,0.18751
121,fiji_cookbook,travis_to_gha,zero-shot,gemma3_12b,0.626444,0.381748
122,fiji_cookbook,travis_to_gha,zero-shot,llama3_1_8b,0.664356,0.381881
123,fiji_cookbook,travis_to_gha,zero-shot,gpt-4o,0.752024,0.421473
124,fiji_cookbook,travis_to_gha,zero-shot,mistral_7b,0.667266,0.175402
125,fiji_cookbook,gha_to_travis,zero-shot,gemma3_12b,0.221781,0.11861
126,fiji_cookbook,gha_to_travis,zero-shot,llama3_1_8b,0.212298,0.094281
127,fiji_cookbook,gha_to_travis,zero-shot,gpt-4o,0.247833,0.117205
128,fiji_cookbook,gha_to_travis,zero-shot,mistral_7b,0.186501,0.131972
129,qos-ch_slf4j,travis_to_gha,zero-shot,gemma3_12b,0.327627,0.103146
130,qos-ch_slf4j,travis_to_gha,zero-shot,llama3_1_8b,0.478067,0.086211
131,qos-ch_slf4j,travis_to_gha,zero-shot,gpt-4o,0.575038,0.11144
132,qos-ch_slf4j,travis_to_gha,zero-shot,mistral_7b,0.458621,0.105928
133,qos-ch_slf4j,gha_to_travis,zero-shot,gemma3_12b,0.333562,0.119452
134,qos-ch_slf4j,gha_to_travis,zero-shot,llama3_1_8b,0.270565,0.037417
135,qos-ch_slf4j,gha_to_travis,zero-shot,gpt-4o,0.273724,0.034943
136,qos-ch_slf4j,gha_to_travis,zero-shot,mistral_7b,0.297351,0.048029
137,miho_VWorkflows,travis_to_gha,zero-shot,gemma3_12b,0.726872,0.122719
138,miho_VWorkflows,travis_to_gha,zero-shot,llama3_1_8b,0.602889,0.100047
139,miho_VWorkflows,travis_to_gha,zero-shot,gpt-4o,0.643424,0.098104
140,miho_VWorkflows,travis_to_gha,zero-shot,mistral_7b,0.690562,0.257917
141,miho_VWorkflows,gha_to_travis,zero-shot,gemma3_12b,0.516041,0.130082
142,miho_VWorkflows,gha_to_travis,zero-shot,llama3_1_8b,0.50003,0.059053
143,miho_VWorkflows,gha_to_travis,zero-shot,gpt-4o,0.615653,0.07883
144,miho_VWorkflows,gha_to_travis,zero-shot,mistral_7b,0.578829,0.215166
145,imglib_imglib2-realtransform,travis_to_gha,zero-shot,gemma3_12b,0.753495,0.39211
146,imglib_imglib2-realtransform,travis_to_gha,zero-shot,llama3_1_8b,0.669684,0.338012
147,imglib_imglib2-realtransform,travis_to_gha,zero-shot,gpt-4o,0.695034,0.273966
148,imglib_imglib2-realtransform,travis_to_gha,zero-shot,mistral_7b,0.758191,0.220552
149,imglib_imglib2-realtransform,gha_to_travis,zero-shot,gemma3_12b,0.305776,0.146944
150,imglib_imglib2-realtransform,gha_to_travis,zero-shot,llama3_1_8b,0.198273,0.109985
151,imglib_imglib2-realtransform,gha_to_travis,zero-shot,gpt-4o,0.311925,0.237835
152,imglib_imglib2-realtransform,gha_to_travis,zero-shot,mistral_7b,0.111251,0.029915
153,adobe_experience-platform-streaming-connect,travis_to_gha,zero-shot,gemma3_12b,0.590482,0.275776
154,adobe_experience-platform-streaming-connect,travis_to_gha,zero-shot,llama3_1_8b,0.603448,0.228676
155,adobe_experience-platform-streaming-connect,travis_to_gha,zero-shot,gpt-4o,0.615653,0.31164
156,adobe_experience-platform-streaming-connect,travis_to_gha,zero-shot,mistral_7b,0.673651,0.183537
157,adobe_experience-platform-streaming-connect,gha_to_travis,zero-shot,gemma3_12b,0.359937,0.271448
158,adobe_experience-platform-streaming-connect,gha_to_travis,zero-shot,llama3_1_8b,0.271448,0.163299
159,adobe_experience-platform-streaming-connect,gha_to_travis,zero-shot,gpt-4o,0.414276,0.065653
