lines,jobs,steps,matrix,services,container,workflow_call,reusable_local_action,permissions,secrets_refs,env_refs,github_token_refs,concurrency,needs,if_conditions,caches,deployments,cron_schedule,workflow_dispatch,top_level_env,project,fold,cosine,bleu
202,5,13,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,selenide_selenide,Set_90_10_V_04,0.8,0.76
16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,thepieterdc_dodona-plugin-jetbrains,Set_90_10_V_07,0.8,0.44
18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,encircled_Joiner,Set_90_10_V_10,0.8,0.71
33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ibissource_iaf,Set_90_10_V_04,0.81,0.4
61,3,3,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,dhatim_safesql,Set_90_10_V_05,0.81,0.64
37,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,CodelyTV_java-basic-skeleton,Set_90_10_V_07,0.81,0.82
66,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,btraceio_btrace,Set_90_10_V_07,0.81,0.7
24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,saucelabs_ci-sauce,Set_90_10_V_10,0.81,0.63
42,2,2,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,ThatKawaiiSam_Assemble,Set_90_10_V_01,0.82,0.6
23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,tdf_odftoolkit,Set_90_10_V_09,0.82,0.56
32,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ipregistry_ipregistry-java,Set_90_10_V_01,0.83,0.45
35,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Coolerfall_Android-HttpDownloadManager,Set_90_10_V_07,0.83,0.79
36,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,utarwyn_SuperJukebox,Set_90_10_V_08,0.83,0.57
45,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,primefaces-extensions_primefaces-integration-tests,Set_90_10_V_01,0.84,0.78
48,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mendhak_gpslogger,Set_90_10_V_05,0.84,0.37
23,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,io7m_jcamera,Set_90_10_V_06,0.84,0.6
39,1,1,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,cryptomator_dokany-nio-adapter,Set_90_10_V_06,0.85,0.71
44,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,TagnumElite_ProjectE-Integration,Set_90_10_V_01,0.86,0.74
45,1,1,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,vlingo_xoom-turbo,Set_90_10_V_02,0.86,0.68
43,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,AtomGraph_Processor,Set_90_10_V_04,0.86,0.68
20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gepardec_Hogarama,Set_90_10_V_05,0.86,0.73
