project,setting,n_files,score_mean,yaml_pass_rate,external_pass_rate,yaml_score_mean,external_score_mean
dhatim_safesql,Fine-Tuned,2,0.5,0.5,0.5,0.5,0.5
dhatim_safesql,Few-Shot,8,0.5625,0.625,0.5,0.625,0.5
dlsc-software-consulting-gmbh_GemsFX,CIMig,2,0.0,0.0,0.0,0.0,0.0
dlsc-software-consulting-gmbh_GemsFX,Zero-Shot,8,0.4375,0.5,0.375,0.5,0.375
dlsc-software-consulting-gmbh_GemsFX,Fine-Tuned,2,0.75,1.0,0.5,1.0,0.5
dlsc-software-consulting-gmbh_GemsFX,Few-Shot,8,0.375,0.5,0.25,0.5,0.25
dogtagpki_jss,CIMig,2,0.0,0.0,0.0,0.0,0.0
dogtagpki_jss,Zero-Shot,8,0.5,0.625,0.375,0.625,0.375
dogtagpki_jss,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
dogtagpki_jss,Few-Shot,8,0.625,0.75,0.5,0.75,0.5
dschadow_CloudSecurity,CIMig,2,0.0,0.0,0.0,0.0,0.0
eclipse_lemminx,CIMig,2,0.0,0.0,0.0,0.0,0.0
eclipse_lemminx,Zero-Shot,8,0.5,0.625,0.375,0.625,0.375
eclipse_lemminx,Few-Shot,8,0.625,0.75,0.5,0.75,0.5
elixir-cloud-aai_tesk-api,CIMig,2,0.0,0.0,0.0,0.0,0.0
elixir-cloud-aai_tesk-api,Zero-Shot,8,0.5625,0.625,0.5,0.625,0.5
elixir-cloud-aai_tesk-api,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
elixir-cloud-aai_tesk-api,Few-Shot,8,0.6875,0.75,0.625,0.75,0.625
encircled_Joiner,CIMig,2,0.0,0.0,0.0,0.0,0.0
encircled_Joiner,Zero-Shot,8,0.875,0.875,0.875,0.875,0.875
encircled_Joiner,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
encircled_Joiner,Few-Shot,8,0.5625,0.625,0.5,0.625,0.5
feedzai_feedzai-openml,CIMig,2,0.0,0.0,0.0,0.0,0.0
feedzai_feedzai-openml,Zero-Shot,8,0.4375,0.5,0.375,0.5,0.375
feedzai_feedzai-openml,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
feedzai_feedzai-openml,Few-Shot,8,0.625,0.75,0.5,0.75,0.5
fiji_Cell_Counter,CIMig,2,0.25,0.5,0.0,0.5,0.0
fiji_Cell_Counter,Zero-Shot,8,0.5,0.625,0.375,0.625,0.375
fiji_Cell_Counter,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
fiji_Cell_Counter,Few-Shot,8,0.6875,0.75,0.625,0.75,0.625
fiji_KymographBuilder,CIMig,2,0.0,0.0,0.0,0.0,0.0
fiji_KymographBuilder,Zero-Shot,8,0.4375,0.625,0.25,0.625,0.25
fiji_KymographBuilder,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
fiji_KymographBuilder,Few-Shot,8,0.6875,0.75,0.625,0.75,0.625
fiji_SPIM_Registration,CIMig,2,0.25,0.5,0.0,0.5,0.0
fiji_SPIM_Registration,Zero-Shot,8,0.5,0.625,0.375,0.625,0.375
fiji_SPIM_Registration,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
fiji_SPIM_Registration,Few-Shot,8,0.625,0.75,0.5,0.75,0.5
fiji_VIB-lib,CIMig,2,0.0,0.0,0.0,0.0,0.0
fiji_VIB-lib,Zero-Shot,8,0.4375,0.625,0.25,0.625,0.25
fiji_VIB-lib,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
fiji_VIB-lib,Few-Shot,8,0.6875,0.75,0.625,0.75,0.625
fiji_cookbook,CIMig,2,0.0,0.0,0.0,0.0,0.0
fiji_cookbook,Zero-Shot,8,0.5,0.625,0.375,0.625,0.375
fiji_cookbook,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
fiji_cookbook,Few-Shot,8,0.6875,0.75,0.625,0.75,0.625
fiji_pQCT,CIMig,2,0.0,0.0,0.0,0.0,0.0
fiji_pQCT,Zero-Shot,8,0.6875,0.75,0.625,0.75,0.625
